net,k,p,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,6,0.1,10.26,517.1095632653062,0.04539232955253364,0.46934693877551026,198.7874080130826,509.0,17.644,34.312,0.7869300643795749,0.27680798004987534,0,0.6557645134914145,1.0
1,6,0.1,10.504,520.2490585858586,0.0493528802286378,0.518020202020202,188.54064039408868,509.0,17.84,36.448,0.7889704462043655,0.28824435318275154,0,0.646551724137931,1.0
2,6,0.1,10.944,519.7762343434343,0.046202530914652123,0.5086060606060606,190.0544082605242,510.0,18.152,37.44,0.7861923535344274,0.2811420676951416,0,0.6393963463065926,1.0
3,6,0.1,10.016,516.439236734694,0.04572745825602968,0.4588163265306123,193.64398998330552,508.0,18.376,35.052,0.7885045603166408,0.27683873915029694,0,0.6469115191986644,1.0
4,6,0.1,9.828,518.7250101010102,0.05004403654706685,0.4925656565656566,197.17219589257505,509.0,17.248,35.208,0.7849835269637593,0.2813825275657337,0,0.6725908372827805,1.0
5,6,0.1,11.0,518.8182791666667,0.044828212759462756,0.4954583333333334,190.9143442622951,509.0,18.18,36.36,0.7848605577689243,0.27954931972789115,0,0.6270491803278688,1.0
6,6,0.1,10.496,518.5340525252526,0.04646433420675845,0.4893737373737374,188.90788946736083,509.0,17.548,35.66,0.7883380884450785,0.2908496732026144,0,0.6371645975170204,1.0
7,6,0.1,9.496,516.4878545454546,0.047708870814931414,0.45636363636363636,195.7511039743075,508.0,17.584,34.496,0.7852146126608516,0.2815242988653393,0,0.65114411882778,1.0
8,6,0.1,11.028,515.6706626262627,0.04016681416226871,0.4446060606060606,190.6713539574126,509.0,18.488,35.156,0.7882224843480627,0.2868290375975408,0,0.6412213740458015,1.0
9,6,0.1,10.196,516.1602141414143,0.043681551781551774,0.4524040404040404,195.44009397024277,510.0,17.604,33.856,0.7850599013389711,0.2820567986230637,0,0.6613155833985904,1.0
10,6,0.1,10.884,520.6453212121213,0.04844176508115902,0.5254141414141414,183.01490132903746,510.0,17.952,36.556,0.787821043910522,0.289957264957265,0,0.6129681836488119,1.0
11,6,0.1,11.168,517.748690909091,0.042608244393092874,0.47862626262626257,189.70456365092073,510.0,18.26,35.968,0.7872283096820549,0.2835547411818598,0,0.6353082465972778,1.0
12,6,0.1,10.028,517.3316808080809,0.047079694323633715,0.4713131313131313,192.68222768222768,508.0,18.06,35.376,0.7867981140162881,0.28396946564885495,0,0.6425061425061425,1.0
13,6,0.1,10.704,518.7975030303031,0.04581752927207472,0.49397979797979796,185.11422680412372,510.0,18.232,36.736,0.789553752535497,0.29357175192394747,0,0.6325773195876289,1.0
14,6,0.1,9.896,515.9014505050505,0.0452003153972851,0.44981818181818184,190.80183946488293,508.0,18.116,34.52,0.7892388009430785,0.2800640146319159,0,0.6488294314381271,1.0
15,6,0.1,9.88,517.0582181818182,0.04730992632507784,0.46852525252525257,187.44808743169398,509.0,18.844,36.008,0.7891566265060241,0.28038936372269707,0,0.6464901218999579,1.0
16,6,0.1,9.944,517.9176395061728,0.047662752199789236,0.48009876543209873,196.95353339787027,509.0,14.32,28.832,0.7856829161176987,0.2786930258099945,0,0.6423039690222653,1.0
17,6,0.1,11.032,517.6121541666668,0.042665107057294566,0.47658333333333336,185.22318125770653,509.0,18.144,35.404,0.7868217054263565,0.28068072866730587,0,0.6214549938347719,1.0
18,6,0.1,10.916,517.1255555555556,0.042719225891953164,0.4675151515151515,191.16497770571544,508.0,18.168,35.708,0.7885339168490153,0.2839306358381503,0,0.6501824077827321,1.0
19,6,0.1,10.804,517.6255757575758,0.04399935541450693,0.47797979797979806,187.14804356595403,509.0,18.704,36.392,0.7882871210158072,0.2819353380058784,0,0.6296893908834207,1.0
20,6,0.1,9.992,519.3787676767678,0.05022579250155008,0.5048080808080808,191.4594484995945,509.0,18.152,36.684,0.7870676168955327,0.28304405874499333,0,0.6366585563665855,1.0
21,6,0.1,10.192,520.1171393939394,0.050515308485005454,0.5158383838383839,194.48915763135946,510.0,17.756,36.324,0.7889853080161526,0.2834212336620041,0,0.640533778148457,1.0
22,6,0.1,10.132,518.26405,0.048011907768157766,0.4887083333333333,190.33718054410554,509.0,17.644,34.732,0.7879050424536476,0.28847016599371916,0,0.6343775762572135,1.0
23,6,0.1,11.188,520.8319666666666,0.04693645093332593,0.5282083333333333,187.73073701842546,510.0,17.564,36.308,0.7866503252569058,0.28433502293024376,0,0.6252093802345059,1.0
24,6,0.1,9.924,517.5745454545456,0.04768411229623351,0.47559595959595957,202.36164488854726,509.0,17.492,34.884,0.7834825507034533,0.27602108036890644,0,0.6648731744811683,1.0
25,6,0.1,10.536,516.9133632653062,0.044010190036720645,0.46473469387755095,194.09131134352373,509.0,17.952,35.04,0.7833378414931025,0.279244473062889,0,0.6504424778761062,1.0
26,6,0.1,11.552,516.2609373737374,0.039118434483586,0.4547474747474748,193.90061349693252,509.0,18.208,35.12,0.7861728854564064,0.2758053138960734,0,0.6515337423312884,1.0
27,6,0.1,10.152,518.9419313131314,0.048753710262801175,0.49830303030303025,184.72355087150385,508.0,18.952,37.472,0.7880676758682101,0.2796252927400468,0,0.6218078638021889,1.0
28,6,0.1,10.172,516.7866303030304,0.044772456051243935,0.4604040404040404,195.65487077534792,509.0,17.552,34.972,0.7866156122182578,0.27877578176979373,0,0.6612326043737574,1.0
29,6,0.1,10.6,517.1376484848485,0.04391942748609415,0.47026262626262627,189.5906862745098,509.0,18.568,35.816,0.7865035156606702,0.2814608048383345,0,0.6401143790849673,1.0
30,6,0.1,9.208,518.3011043478261,0.052762207478511826,0.4894347826086956,191.9216944801027,509.0,16.152,32.08,0.7875264270613108,0.28240109140518416,0,0.6401369276850664,1.0
31,6,0.1,9.684,517.6078747474747,0.04908129928432959,0.4772525252525252,193.14726450020567,509.0,18.356,35.584,0.7879993083174823,0.28101037437979254,0,0.6569313039901276,1.0
32,6,0.1,10.864,517.6416202020202,0.043764887301250936,0.47705050505050506,188.66788766788767,509.0,18.492,36.208,0.788929388827668,0.28205704019761957,0,0.6349206349206349,1.0
33,6,0.1,11.38,520.3746141414142,0.045820488826549426,0.5225454545454545,183.06416019615855,510.0,18.888,38.1,0.7885259252556329,0.28625863300785903,0,0.6228034327748263,1.0
34,6,0.1,10.484,518.1560888888889,0.046040538698114454,0.4848080808080808,193.26056060007895,509.0,17.748,35.58,0.7843081849863427,0.2799452429842574,0,0.6466640347414133,1.0
35,6,0.1,12.16,514.6372686868688,0.03499759926480069,0.4252525252525252,186.00040322580645,509.0,18.684,35.188,0.78888243269417,0.290519877675841,0,0.6298387096774194,1.0
36,6,0.1,10.8,516.80555,0.04273340317090318,0.461625,195.0016447368421,509.0,17.048,34.0,0.7874072879716221,0.2843582335947173,0,0.6361019736842105,1.0
37,6,0.1,11.136,519.746105263158,0.04574029479292638,0.5119578947368421,185.88752642706132,510.0,17.456,34.952,0.78685540950455,0.2810880829015544,0,0.6236786469344608,1.0
38,6,0.1,9.528,517.0080848484849,0.048596969696969694,0.46727272727272723,198.8017206063089,509.0,17.348,34.016,0.7870440569454974,0.27867790019442645,0,0.6632527652601393,1.0
39,6,0.1,10.2,517.0979838383838,0.045702087474814745,0.468,186.53760789149197,508.0,18.224,35.668,0.7887004625011336,0.2846317783566185,0,0.6284422523633374,1.0
40,6,0.1,10.104,519.5490464646465,0.050245302284696224,0.5072323232323233,187.19433359936153,509.0,17.48,35.604,0.789020744632666,0.29327950605556874,0,0.6213088587390263,1.0
41,6,0.1,9.88,516.7677818181819,0.04667063015547864,0.46266666666666667,199.9347377116894,509.0,17.512,34.304,0.7860999825814318,0.2786631252766711,0,0.6596447748864106,1.0
42,6,0.1,10.0,519.110698989899,0.050006327679054954,0.5012929292929293,192.9951120162933,509.0,17.944,35.84,0.7888850653819683,0.2806215722120658,0,0.6407331975560081,1.0
43,6,0.1,9.668,518.1969136842106,0.05010292853345485,0.4855578947368421,193.9620253164557,509.0,17.2,34.204,0.7877973281199088,0.2804826418289585,0,0.6298559580969009,1.0
44,6,0.1,10.16,517.2095353535353,0.04629148427330246,0.47119191919191916,189.66366243342893,509.0,18.532,35.716,0.786342123056119,0.2827763496143959,0,0.6366243342892257,1.0
45,6,0.1,9.964,519.2937575757576,0.05038731616307374,0.5048888888888888,194.24885939444215,509.0,18.044,36.208,0.7865070348684785,0.28066710555189817,0,0.6449605972625466,1.0
46,6,0.1,10.672,518.1262326530613,0.045253036419362944,0.48538775510204085,191.49308943089432,510.0,18.1,35.776,0.7867773067556598,0.28597326082030367,0,0.6434959349593496,1.0
47,6,0.1,10.66,517.7401696969697,0.04470522048097805,0.4773333333333333,186.58027238959966,509.0,18.756,36.652,0.7895067053564426,0.2821646662455254,0,0.6165910028889806,1.0
48,6,0.1,10.024,515.8985387755101,0.044824475297944685,0.4493061224489796,192.28577235772357,509.0,18.152,34.456,0.7856948845631507,0.2783389450056117,0,0.6459349593495934,1.0
49,6,0.1,10.54,516.9427070707071,0.04405507365810397,0.4658585858585858,195.85492662473794,509.0,18.492,35.612,0.7875499714448886,0.2831541218637993,0,0.6557651991614256,1.0
0,8,0.0,2.432,494.99853061224496,0.006118152524167561,0.11624489795918365,nan,nan,12.544,12.544,0.872,nan,0,nan,nan
