net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
11,bsps,ack,0.05,100,1.0,15.536,582.6967717171717,0.04343294005043231,0.673010101010101,47.69140950792327,115.0,50.372,62.592,0.488077083044503,0.680633147113594,0,0.3502919099249375,1.0
12,bsps,ack,0.05,100,1.0,13.256,582.5494585858586,0.05045149866968049,0.6665050505050506,45.77303754266212,113.0,50.3,62.2,0.4884427420420024,0.6796028880866426,0,0.34897610921501704,1.0
13,bsps,ack,0.05,100,1.0,14.256,582.9446383838383,0.048061449008507826,0.684969696969697,49.3732057416268,114.0,49.612,63.052,0.4869328734412311,0.6635434412265758,0,0.3803827751196172,1.0
14,bsps,ack,0.05,100,1.0,13.456,582.5491232323234,0.04966086473439414,0.6675959595959596,46.59116465863454,114.0,50.456,62.312,0.48708927978758715,0.6776371308016877,0,0.3566265060240964,1.0
15,bsps,ack,0.05,100,1.0,13.432,582.8221333333335,0.05063582074491166,0.67979797979798,45.3522110162917,114.0,50.96,63.704,0.4866448148406444,0.6770025839793282,0,0.34367726920093095,1.0
16,bsps,ack,0.05,82,0.82,13.956,583.2426666666668,0.04926188338410561,0.686716049382716,47.48720573183214,114.0,40.324,50.668,0.4879284146547358,0.6858407079646017,0,0.3602865916069601,1.0
17,bsps,ack,0.05,97,0.97,15.048,582.8656083333334,0.04504335485796883,0.677125,46.757705479452056,115.0,50.248,62.056,0.487701627618422,0.67302192564347,0,0.3501712328767123,1.0
18,bsps,ack,0.05,100,1.0,15.032,582.3628808080808,0.04439734161798145,0.6671919191919191,45.85901639344262,115.0,50.24,62.74,0.48867821579593507,0.6838235294117647,0,0.34262295081967215,1.0
19,bsps,ack,0.05,100,1.0,14.904,582.7225414141416,0.045480964569199867,0.6774545454545455,49.78439259855189,115.0,50.192,62.876,0.4863476615301433,0.665282392026578,0,0.37892196299275943,1.0
20,bsps,ack,0.05,100,1.0,13.288,583.8405292929293,0.05314068776341503,0.7057373737373737,49.586074980872226,114.0,49.04,62.812,0.48560590665853826,0.65642683912692,0,0.3863810252486611,1.0
21,bsps,ack,0.05,100,1.0,13.748,584.5631272727273,0.052572139298609884,0.7211717171717171,49.670597484276726,115.0,47.976,62.224,0.48692479221569024,0.6736053288925895,0,0.37657232704402516,1.0
22,bsps,ack,0.05,97,0.97,13.312,583.517725,0.05203967091935841,0.6924166666666668,46.46110210696921,113.0,47.992,60.288,0.48716393774004446,0.6729939603106126,0,0.35089141004862234,1.0
23,bsps,ack,0.05,97,0.97,14.808,584.8456416666667,0.049154544975041306,0.728375,48.60967472894078,115.0,48.072,61.52,0.487594862813777,0.6730401529636711,0,0.35529608006672225,1.0
24,bsps,ack,0.05,100,1.0,13.652,583.2204202020204,0.050311060250899826,0.685090909090909,48.7992,114.0,48.868,61.364,0.4875860630085541,0.6797502230151651,0,0.372,1.0
25,bsps,ack,0.05,99,0.99,14.436,582.3478734693879,0.04573310025308825,0.6600816326530612,47.634309623430966,114.0,50.656,61.98,0.4875315980050557,0.6702605570530099,0,0.36401673640167365,1.0
26,bsps,ack,0.05,100,1.0,15.62,582.1686262626264,0.0423522875454248,0.6606464646464647,49.24285714285714,115.0,50.2,62.172,0.48694526361217005,0.6727438468550593,0,0.37142857142857144,1.0
27,bsps,ack,0.05,100,1.0,13.62,583.2089373737373,0.050912545367090827,0.6927272727272727,46.94440031771247,114.0,50.016,63.728,0.48653926628539546,0.6660929432013769,0,0.36298649722001586,1.0
