net,q,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
22,0.5,ewma,14.148,542.7259166666668,0.06523148656898657,0.922625,33.39358288770053,114.0,35.404,65.212,0.4641679401592536,0.7488085225679842,0,0.21497326203208555,1.0
23,0.5,ewma,15.524,548.1851666666668,0.06474211803311067,1.0047083333333333,34.65975711892797,115.0,34.532,68.068,0.45856990773598294,0.7426682001150087,0,0.20938023450586266,1.0
24,0.5,ewma,14.464,545.4463393939395,0.06661075511271589,0.9629494949494949,33.414065510597304,114.0,35.436,68.48,0.46193020537652363,0.7382169222032936,0,0.2115606936416185,1.0
25,0.5,ewma,15.016,543.1824775510205,0.06175179995074953,0.9260408163265306,32.36974275214373,114.0,35.972,67.824,0.4627956636005256,0.7434247341913822,0,0.20579828501429154,1.0
26,0.5,ewma,16.544,542.3260242424243,0.05554414028237558,0.9179393939393939,32.29377593360996,115.0,36.896,68.5,0.46519682378780197,0.7526881720430108,0,0.1970954356846473,1.0
27,0.5,ewma,14.284,544.604488888889,0.06631444111444112,0.9447676767676767,31.462932454695224,114.0,35.94,69.464,0.46379566870557115,0.7413286302175192,0,0.20345963756177923,1.0
28,0.5,ewma,14.484,544.5539393939395,0.06490832685832686,0.9384242424242425,32.882419446014694,114.0,34.568,68.856,0.45572263993316625,0.749379652605459,0,0.21254946297343133,1.0
29,0.5,ewma,15.084,545.5994343434344,0.06414699254993371,0.9662222222222222,31.89803149606299,114.0,36.156,69.988,0.460328376171237,0.7467514514791264,0,0.19881889763779528,1.0
30,0.5,ewma,13.692,544.973595652174,0.0708058215619277,0.9637826086956521,34.39242648614343,114.0,34.284,62.976,0.46110744891232697,0.7351964582180409,0,0.21895493970806007,1.0
31,0.5,ewma,13.576,543.5527151515153,0.06890041103677468,0.9337777777777778,33.25195586760281,113.0,36.456,68.252,0.4658963248274755,0.7416619559072922,0,0.2156469408224674,1.0
32,0.5,ewma,15.62,543.5445616161617,0.06000659628564685,0.934141414141414,34.673939892960064,115.0,36.776,68.972,0.46228456913827654,0.7380132450331126,0,0.2225195553725813,1.0
33,0.5,ewma,15.604,548.4984727272728,0.06474775224775225,1.0087676767676768,33.49324055666004,115.0,35.16,70.816,0.45779474277782595,0.7456352403975288,0,0.20596421471172963,1.0
34,0.5,ewma,14.492,543.1681696969697,0.06445278066160419,0.9327676767676768,33.97510094212652,114.0,37.388,68.172,0.46740498363956706,0.7406686140863356,0,0.21467025572005383,1.0
35,0.5,ewma,19.248,541.9477696969698,0.04669568031178489,0.8959191919191919,35.1514450867052,118.0,35.904,70.004,0.45745969620725,0.7522023302074453,0,0.20578034682080926,1.0
36,0.5,ewma,15.816,540.5173958333334,0.055938973344623506,0.882875,36.13630653266332,116.0,34.94,64.56,0.46085839504307086,0.7405378486055777,0,0.23115577889447236,1.0
37,0.5,ewma,16.548,547.5382231578948,0.06026998805062192,0.9946526315789475,34.26519567027477,116.0,34.728,67.464,0.4628603624753498,0.7429861335053208,0,0.20274771024146546,1.0
38,0.5,ewma,14.144,544.3117212121211,0.06721550355962119,0.9485656565656566,33.80509148766905,114.0,36.552,68.196,0.46166032953105196,0.749484004127967,0,0.21539379474940334,1.0
39,0.5,ewma,14.636,544.7375313131313,0.06484235416000121,0.9474747474747476,32.473889321901794,113.0,35.284,69.272,0.459020640815269,0.7491146826477799,0,0.20869056897895558,1.0
40,0.5,ewma,14.124,547.3855757575758,0.07039459189058118,0.9914747474747476,32.774167829380104,114.0,35.708,69.3,0.4631561095565166,0.7405264680358693,0,0.2023121387283237,1.0
41,0.5,ewma,14.656,543.5435151515153,0.06365617345617346,0.931959595959596,34.256557377049184,114.0,35.988,67.724,0.4625030337351347,0.7436108821104699,0,0.21700819672131147,1.0
42,0.5,ewma,14.312,545.136294949495,0.06696933099580159,0.9575353535353536,32.82973523421589,114.0,36.328,68.636,0.4637890844787397,0.7454341107052543,0,0.2079429735234216,1.0
43,0.5,ewma,14.496,544.3804715789474,0.06530393145554138,0.9417684210526317,34.20303951367781,115.0,33.988,65.148,0.45827221493090403,0.7363479120336052,0,0.2275582573454914,1.0
44,0.5,ewma,14.984,542.4641414141415,0.06144988649694533,0.9183838383838383,34.63547515075899,115.0,37.372,68.6,0.4619028819581524,0.7426336375488918,0,0.223123310459555,1.0
45,0.5,ewma,13.708,544.2025373737374,0.06925926346380892,0.9465050505050505,33.413843888070694,114.0,36.164,67.5,0.4665611396913336,0.7346210995542348,0,0.21586366505365032,1.0
46,0.5,ewma,15.352,544.2993714285714,0.06180427306453717,0.9468163265306123,33.84988548823652,115.0,36.024,68.096,0.4631089716988962,0.7473196175021732,0,0.2096606287736831,1.0
47,0.5,ewma,14.96,542.6536161616162,0.0609110492992846,0.9092929292929294,34.64260424862313,114.0,35.944,68.776,0.45774860419496,0.7371643900141309,0,0.22659323367427223,1.0
48,0.5,ewma,15.144,542.892718367347,0.060859105766848866,0.9192244897959183,35.24486921529175,115.0,36.732,68.724,0.4559799948262482,0.7363566487317448,0,0.22736418511066397,1.0
49,0.5,ewma,14.716,542.3727838383838,0.06209985178220472,0.9117979797979798,35.046333601933924,114.0,36.588,68.428,0.4591383011346213,0.7353387259858443,0,0.2322723609991942,1.0
0,0.6,static,19.0,558.2375836734695,0.06580021482277121,1.250204081632653,15.03716777408638,19.0,64.48,98.0,0.0,1.0,0,0.0,1.0
1,0.6,static,18.0,564.5401414141415,0.07356004489337824,1.3240808080808082,16.435072353389184,18.0,58.916,99.0,0.0,1.0,0,0.0,1.0
2,0.6,static,20.0,562.808290909091,0.0648161616161616,1.296323232323232,17.096239761727475,20.0,58.664,99.0,0.0,1.0,0,0.0,1.0
3,0.6,static,18.0,558.6132122448979,0.06943537414965985,1.2498367346938777,14.243546798029557,18.0,62.516,98.0,0.0,1.0,0,0.0,1.0
4,0.6,static,19.0,558.4012929292929,0.0658160552897395,1.2505050505050503,15.665104388581167,19.0,65.2,99.0,0.0,1.0,0,0.0,1.0
5,0.6,static,19.0,557.82155,0.06494298245614036,1.2339166666666668,14.443218954248366,19.0,61.544,96.0,0.0,1.0,0,0.0,1.0
6,0.6,static,21.0,562.036004040404,0.061920153920153924,1.3003232323232323,17.128780292409374,21.0,61.268,99.0,0.0,1.0,0,0.0,1.0
