net,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
39,csma,0.1,1.0,100,11,6,19,19.0,1411.8060929292928,1.0,19.0,13.274379432624114,19.0,nan,nan,nan,nan,0,0.0,0.8998803350618269
40,csma,0.1,1.0,100,11,7,18,18.0,1372.594783838384,1.0,18.0,16.97375745526839,103.0,nan,nan,nan,nan,0,0.0,0.9669357939254133
41,csma,0.1,1.0,100,10,5,19,19.0,1411.43496969697,1.0,19.0,12.594129979035639,19.0,nan,nan,nan,nan,0,0.0,0.9551461754104926
42,csma,0.1,1.0,100,8,6,17,17.0,1317.407301010101,1.0,17.0,15.424095322153574,102.0,nan,nan,nan,nan,0,0.0,0.958139534883721
43,csma,0.1,0.96,96,9,6,20,20.0,1454.5477263157895,1.0,20.0,12.473272490221643,20.0,nan,nan,nan,nan,0,0.0,0.974587039390089
44,csma,0.1,1.0,100,11,5,19,19.0,1406.434387878788,1.0,19.0,12.646681922196796,19.0,nan,nan,nan,nan,0,0.0,0.9130798161303803
45,csma,0.1,1.0,100,10,6,17,17.0,1317.6677373737375,1.0,17.0,14.99391039582427,102.0,nan,nan,nan,nan,0,0.0,0.9383673469387755
46,csma,0.1,0.99,99,10,6,19,19.0,1411.0077755102043,1.0,19.0,12.750327367961589,19.0,nan,nan,nan,nan,0,0.0,0.9420230263157895
47,csma,0.1,1.0,100,16,5,19,19.0,1414.7282424242426,1.0,19.0,13.616715913887717,19.0,nan,nan,nan,nan,0,0.0,0.9476
48,csma,0.1,0.99,99,13,6,18,18.0,1364.9760897959184,1.0,18.0,14.529941467807294,101.0,nan,nan,nan,nan,0,0.0,0.9204309987567344
49,csma,0.1,1.0,100,13,5,18,18.0,1364.61616969697,1.0,18.0,14.398869073510221,101.0,nan,nan,nan,nan,0,0.0,0.9399018806214228
0,csma,0.15,0.99,99,9,7,19,19.0,1459.0259020408166,1.0,19.0,20.823895641861846,109.0,nan,nan,nan,nan,0,0.0,0.9096548004314995
1,csma,0.15,1.0,100,8,7,18,18.0,1409.6838141414144,1.0,18.0,28.097969991173876,112.0,nan,nan,nan,nan,0,0.0,0.9274215552523875
2,csma,0.15,1.0,100,11,8,20,20.0,1513.7670828282828,1.0,20.0,18.923008587503702,105.0,nan,nan,nan,nan,0,0.0,0.919411924857065
3,csma,0.15,0.99,99,11,6,18,18.0,1405.8108897959187,1.0,18.0,23.15542053086025,109.69999999999982,nan,nan,nan,nan,0,0.0,0.860484314804623
4,csma,0.15,1.0,100,9,8,19,19.0,1464.6676,1.0,19.0,17.515301661323228,105.0,nan,nan,nan,nan,0,0.0,0.9247978436657682
5,csma,0.15,0.97,97,12,6,19,19.0,1451.4475375000004,1.0,19.0,21.542463177687246,109.0,nan,nan,nan,nan,0,0.0,0.8824668141592921
6,csma,0.15,1.0,100,9,6,21,21.0,1542.05317979798,1.0,21.0,15.67492795389049,21.0,nan,nan,nan,nan,0,0.0,0.9250866435617169
7,csma,0.15,1.0,100,13,7,18,18.0,1409.7159878787882,1.0,18.0,24.40949193793733,112.0,nan,nan,nan,nan,0,0.0,0.8686575052854123
8,csma,0.15,1.0,100,15,6,22,22.0,1600.0203919191922,1.0,22.0,17.734138972809667,104.0,nan,nan,nan,nan,0,0.0,0.8850267379679144
9,csma,0.15,1.0,100,13,5,21,21.0,1547.4294585858588,1.0,21.0,15.291604865025215,21.0,nan,nan,nan,nan,0,0.0,0.929162072767365
10,csma,0.15,1.0,100,9,6,22,22.0,1590.4209010101013,1.0,22.0,17.251385243511226,102.0,nan,nan,nan,nan,0,0.0,0.9275087909115499
11,csma,0.15,1.0,100,12,6,22,22.0,1593.2540282828284,1.0,22.0,16.530232558139534,101.0,nan,nan,nan,nan,0,0.0,0.9357997823721437
12,csma,0.15,1.0,100,11,8,19,19.0,1454.5727313131313,1.0,19.0,20.688706846108836,109.0,nan,nan,nan,nan,0,0.0,0.9059104161144977
13,csma,0.15,1.0,100,12,8,18,18.0,1412.0851555555557,1.0,18.0,24.17787157069641,111.0,nan,nan,nan,nan,0,0.0,0.8976995940460081
14,csma,0.15,1.0,100,10,5,18,18.0,1406.174468686869,1.0,18.0,22.912745098039217,110.0,nan,nan,nan,nan,0,0.0,0.8250202210838501
15,csma,0.15,1.0,100,12,5,18,18.0,1403.467183838384,1.0,18.0,21.68174628282189,109.0,nan,nan,nan,nan,0,0.0,0.8264052287581699
16,csma,0.15,0.82,82,10,6,20,20.0,1503.3737333333336,1.0,20.0,16.45934284766014,103.0,nan,nan,nan,nan,0,0.0,0.9657051282051282
17,csma,0.15,0.97,97,11,6,20,20.0,1502.3142083333337,1.0,20.0,17.82148653034729,104.0,nan,nan,nan,nan,0,0.0,0.8810408921933085
