net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
30,10,bsps,0.2,0.93,93,19,13.572,547.6145782608697,0.07337374165689382,0.9954347826086958,16.22397672969042,15.0,32.044,63.312,0.49403188336137144,0.9537802265074993,0,0.036359858715977564,1.0
31,10,bsps,0.2,1.0,100,17,13.62,546.2483434343435,0.0712056192965284,0.9681616161616161,15.647935548841893,15.0,34.436,68.912,0.49316338354577055,0.9443535188216039,0,0.03907351460221551,1.0
32,10,bsps,0.2,1.0,100,20,15.8,548.9453494949496,0.06378245998736194,1.0061010101010102,16.214219070722148,17.0,33.404,70.868,0.4926898286432951,0.9503968253968254,0,0.037320395596193316,1.0
33,10,bsps,0.2,1.0,100,19,15.212,547.0663676767678,0.06496387715407323,0.9866262626262626,16.487474610697358,17.0,35.008,69.616,0.4940636378027545,0.9441896024464832,0,0.03859174001354096,1.0
34,10,bsps,0.2,1.0,100,18,14.616,548.3405252525254,0.06832672480025422,0.9974545454545455,16.541816009557945,16.0,33.2,69.36,0.49250425894378197,0.949079754601227,0,0.03882915173237754,1.0
35,10,bsps,0.2,1.0,100,24,19.132,546.025907070707,0.049707391990031075,0.948040404040404,17.813605442176872,21.0,32.248,70.736,0.4938035356296701,0.9590964590964591,0,0.03362487852283771,1.0
36,10,bsps,0.2,0.97,97,21,16.048,543.1179708333334,0.05742697107154828,0.9190833333333334,16.98605128205128,18.0,33.48,65.772,0.49325710935209616,0.9525790349417638,0,0.03876923076923077,1.0
37,10,bsps,0.2,0.96,96,21,16.708,548.1923747368421,0.060107105483005754,0.9988631578947368,18.235779816513762,21.0,33.352,66.812,0.4931506849315068,0.9425837320574163,0,0.04036697247706422,1.0
38,10,bsps,0.2,1.0,100,17,13.936,545.0713414141414,0.06869297703682731,0.9549494949494949,15.896538081107813,16.0,35.036,67.72,0.4935664547381169,0.9492092457420924,0,0.03837784371909001,1.0
39,10,bsps,0.2,1.0,100,19,14.696,545.4206828282829,0.065171860710096,0.955959595959596,15.371440032089852,16.0,34.784,69.332,0.4937941104891701,0.9490249743414301,0,0.03529883674288006,1.0
40,10,bsps,0.2,1.0,100,18,14.636,546.3214262626262,0.06705716816688297,0.9747474747474747,16.857870173949937,18.0,35.504,68.388,0.49278152069297404,0.9396117900790798,0,0.04200254560882478,1.0
41,10,bsps,0.2,1.0,100,19,14.556,543.585797979798,0.0639168685345156,0.9288080808080809,17.017047906776003,16.0,35.056,67.108,0.49327905369075964,0.941630325394163,0,0.0440224428139836,1.0
42,10,bsps,0.2,1.0,100,17,14.292,548.2289131313132,0.06977634587634587,0.9945050505050506,16.09226077011056,16.0,33.52,69.0,0.49273198711400956,0.9465322334249924,0,0.03945863515059093,1.0
43,10,bsps,0.2,0.96,96,20,14.572,544.8281810526317,0.06540590378661587,0.9466526315789474,15.029524214103652,18.0,33.196,65.12,0.4929515418502203,0.9482248520710059,0,0.04035683942225998,1.0
44,10,bsps,0.2,1.0,100,19,14.976,545.2313414141415,0.063780156616342,0.9523636363636363,16.343405471621068,17.0,35.12,69.068,0.4931071049840933,0.9490600363856883,0,0.0379746835443038,1.0
45,10,bsps,0.2,1.0,100,17,14.044,546.8413171717173,0.07001997608254293,0.9807272727272728,15.833845523458308,16.0,34.304,68.36,0.4928846607437692,0.9457482474855227,0,0.041180086047940996,1.0
46,10,bsps,0.2,0.99,99,19,15.564,548.7210857142858,0.06456119440450173,1.0036734693877551,16.862930708065125,17.0,32.836,69.308,0.4932505175983437,0.9535766423357664,0,0.03616054524801212,1.0
47,10,bsps,0.2,1.0,100,19,14.856,542.3761494949495,0.06095081868023044,0.9042424242424243,15.888512798815317,16.0,35.896,68.444,0.49360505973295854,0.946177370030581,0,0.038925322614766236,1.0
48,10,bsps,0.2,0.99,99,18,14.972,545.7981714285714,0.06414735795294334,0.9560816326530612,16.03055450773293,18.0,34.328,69.264,0.49276310409681906,0.949250993579945,0,0.036212749905695965,1.0
49,10,bsps,0.2,1.0,100,18,14.672,544.9488565656566,0.0644813264803461,0.9437575757575758,15.772022758485383,16.0,34.484,68.836,0.49343215674763335,0.9475244589386304,0,0.0384539925446341,1.0
0,10,baps,0.2,0.99,99,19,11.64,528.1913142857144,0.04580993811058258,0.691469387755102,59.14936440677966,119.0,34.048,53.912,0.5051238602436859,0.524873398868037,0,0.44851694915254237,1.0
1,10,baps,0.2,1.0,100,18,11.816,531.5817535353535,0.050549623216289884,0.7414949494949495,60.29607438016529,118.0,33.68,56.104,0.5058097962102253,0.5212279555845852,0,0.44669421487603306,1.0
2,10,baps,0.2,1.0,100,20,13.524,533.0564202020204,0.04918383838383838,0.7639595959595958,55.769657357892655,120.0,34.056,58.6,0.5052314388549427,0.5255828035119589,0,0.40007922360863535,1.0
3,10,baps,0.2,0.99,99,18,12.028,528.8073632653062,0.04504826692581795,0.6960408163265306,56.592216582064296,118.0,33.284,54.748,0.5031597472202224,0.5224349814232638,0,0.42771197593532617,1.0
4,10,baps,0.2,1.0,100,19,12.0,528.9649696969698,0.04554428495481127,0.7002828282828283,60.21095834188385,119.0,34.208,54.768,0.5031916549898802,0.5302585193889542,0,0.4457213215678227,1.0
5,10,baps,0.2,0.97,97,19,12.208,529.1996958333334,0.04651630116959065,0.7042083333333332,57.20720164609053,119.0,33.324,54.464,0.502940945808172,0.5341526150328665,0,0.43415637860082307,1.0
6,10,baps,0.2,1.0,100,21,14.132,531.2488282828283,0.04246849446849447,0.7405656565656566,59.9547520661157,121.0,34.652,56.984,0.5019320891227493,0.5253221456397962,0,0.4353305785123967,1.0
7,10,baps,0.2,1.0,100,18,11.8,528.2365616161617,0.046127048260381595,0.6883636363636364,59.528401051142104,118.0,34.86,55.528,0.506157443491816,0.5239766081871345,0,0.4479482514655347,1.0
8,10,baps,0.2,1.0,100,22,13.872,525.8345333333334,0.03845337939277333,0.6588686868686868,58.697897196261685,121.0,37.616,56.484,0.502611999366788,0.5244648318042814,0,0.41728971962616823,1.0
9,10,baps,0.2,1.0,100,21,12.86,527.3827797979799,0.04114122174122174,0.6764040404040405,61.574744846908146,121.0,34.86,54.724,0.5039203387172652,0.5304990757855823,0,0.44646788072843707,1.0
10,10,baps,0.2,1.0,100,22,14.148,529.8002383838384,0.041690301281210373,0.7224242424242424,60.05265546981389,122.0,35.948,55.984,0.5040337502775516,0.528249459709787,0,0.4378120744439401,1.0
11,10,baps,0.2,1.0,100,22,14.568,529.1111474747477,0.03841689623507805,0.7071515151515151,60.171279916753384,122.0,35.26,56.384,0.5051847051198963,0.529467680608365,0,0.43309053069719045,1.0
12,10,baps,0.2,1.0,100,19,11.836,528.1038424242425,0.04208736487683856,0.6824242424242425,60.408048138397895,119.0,32.908,53.984,0.5057296257712958,0.5239989392734022,0,0.4490409928544566,1.0
13,10,baps,0.2,1.0,100,18,12.828,528.9631838383839,0.044536315536315534,0.7029898989898989,55.891606217616584,118.0,35.824,56.96,0.4999617473796955,0.5335011009751495,0,0.4194818652849741,1.0
